sample_id	pipeline_type	seq_category	seq_type	mutant_id	mutant_name	replicate	trimmed	count	mean	std	min	25%	50%	75%	max
1022_S2-ChIP_1	ChIP	S2-ChIP	S2-ChIP	1022	mot2d	1	False	0.010954616588419406	0.2721576708610943	0.22151771678388973	8.165306122448978	0.20930246803166394	0.2544765681875205	0.32097243491241956	0.046546834210083404
1022_S2-ChIP_2	ChIP	S2-ChIP	S2-ChIP	1022	mot2d	2	False	0.01192570869990225	0.2864729189420388	0.2181382291818226	5.363013698630136	0.19884040518960994	0.3540828668673174	0.3864710043918049	0.05416612825543012
1022_S2-RIP_2	RNA	S2-RIP	S2-RIP	1022	mot2d	2	False	0.0010006003602161296	0.33445830985114433	0.1452798736829034	34.97260273972603	0.36697965571205005	0.4125844594594595	0.5064731825295206	0.014715114458602557
1022_S2-RIP_3	RNA	S2-RIP	S2-RIP	1022	mot2d	3	False	0.006677140612725845	0.19610704516759384	0.23508030885754239	23.433333333333334	0.1472157291379389	0.15064878635873907	0.17462217846758998	0.05129775610124956
1022_S2-RIP_4	RNA	S2-RIP	S2-RIP	1022	mot2d	4	False	0.002170909808565226	0.1473904312888154	0.07151104122687814	40.795918367346935	0.1341523098554956	0.17077175697865352	0.18491264551987707	0.008167101988612287
1022_S2-RIP_5	RNA	S2-RIP	S2-RIP	1022	mot2d	5	False	0.002576298057867618	0.6422624908502361	0.22338535484986333	45.13265306122449	1.3287671232876712	0.8441685192772891	0.5328135463715299	0.053365420136580015
1022_pA-RNA_1	RNA	pA-RNA	pA-RNA	1022	mot2d	1	False	0.00019700551615445234	0.01360609317970824		20.783505154639176	0.05559161805122868	0.027790776990983493	0.014262697429360269	0.0003987097964445454
1023_pA-RNA_2	RNA	pA-RNA	pA-RNA	1023	mot2d	2	False	0.0009815469179426776	0.011480519743582655	0.003601254138339868	18.628865979381445	0.038983273963102236	0.019298202489950105	0.009097545955126345	0.00045343754152469466
1168_S2-ChIP_1	ChIP	S2-ChIP	S2-ChIP	1168	caf1d*ccr4d*	1	False	0.004545454545454545	0.921552796332526	0.5341124089991441	28.951807228915662	1.0024221094786958	1.2847764196066114	1.032370266827013	0.06799866354827931
1168_S2-ChIP_2	ChIP	S2-ChIP	S2-ChIP	1168	caf1d*ccr4d*	2	False	0.009589041095890411	0.38596271365728674	0.2613904110709755	3.8382352941176467	0.3483679129910009	0.4690145143394064	0.4642641609686496	0.050537497370477795
1168_S2-RIP_1	RNA	S2-RIP	S2-RIP	1168	caf1d*ccr4d*	1	False	0.0004137360364087712	0.4031189825748432	0.05114080921344988	90.74226804123711	1.125627225374512	0.6582783117807345	0.3835805627372421	0.015148537844548851
1168_S2-RIP_2	RNA	S2-RIP	S2-RIP	1168	caf1d*ccr4d*	2	False	0.005897385492431689	0.3076670677796402	0.39036313924645094	20.202380952380953	0.278005859074894	0.21275647541075157	0.24649369448050162	0.09680041874088181
1168_pA-RNA_1	RNA	pA-RNA	pA-RNA	1168	caf1d*ccr4d*	1	False	0.0003956478733926805	0.03340976270526246	0.0030343212656620527	23.75257731958763	0.1427447604528646	0.07391223182635037	0.03715668489795653	0.0008966687811819569
1168_pA-RNA_2	RNA	pA-RNA	pA-RNA	1168	caf1d*ccr4d*	2	False	0.0017692156477295065	0.012038936433169544	0.0046917316266290345	12.494845360824742	0.029978294351205984	0.01710334788937409	0.015357170845300283	0.0010024883947113083
301_S2-ChIP_1	ChIP	S2-ChIP	S2-ChIP	301	swi6d	1	False	0.009775171065493646	0.309710458882288	0.19579803492371356	14.479591836734691	0.1950263839432835	0.3946214848912994	0.4186785627553701	0.039121003276465935
